id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating
73,Documentary,"Isla Blair, Drew Barrymore",,,Shine TV,"Antonia Hurford-Jones, Vanessa Colosi",en,185,7
74,"Drama, Romance","Lillian Gish, Alfredo Bertone, Charles Lane, Francesco Socinus, Juliette La Violette, Michele Gualdi, James E. Abbe, Duncan Mansfield, Giovanni Viccola, Ronald Colman, Ida Carloni Talli, Gail Kane, Giacomo D'Attino, Alfredo Martinelli, Roman Ibanez, J. Barney Sherry, Gustavo Serena, Antonio Barda, Sheik Mahomet, Giuseppe Pavoni",Henry King,"George V. Hobart, Francis Marion Crawford, Charles E. Whittaker",Inspiration Pictures,Henry King,en,135,7
75,"Drama, War","Tatsuya Nakadai, Yūko Mochizuki, Torahiko Hamada, Shozo Suzuki, Hiroshi Hijikata, Takeshi Katō, Keiko Kishi, Ryuji Kita, Eitarō Ozawa, Jun Yokoyama, Kōji Mitsui, Norikazu Takeda, Tomo'o Nagai, Ryôhei Uchida, Shinichirō Minami, Kō Mishima, Jun Tanizaki, Toshio Shimamura, Shōbun Inoue, Toshirô Hayano, Tsuneko Sasaki, Toshiko Kobayashi, Tsutomu Shimomoto, Isao Suenaga, Shoichi Kofujita, Kinzō Shin, Unpei Yokoyama, Hisashi Taki, Eiko Takamatsu, Binnosuke Nagao, Asao Sano, Tomio Aoki, Yūnosuke Itō",Masaki Kobayashi,Kōbō Abe,"Shochiku, Shinei Productions",Takeshi Ogura,ja,110,7.1
76,"Action, Drama","Samuel Ratsch, Samuel Guevara, Fénix, Laura Dennis, Matthew Massie, Nicholas Massie, Brittany Baker, Dustin Runnels, Riho Hime, Maxwell Friedman, Chris Jericho, Brandi Runnels, Pentagón Jr., Ronnie Arneill, Beatrice St. Clere Priestley, Tyson Smith, Stephen Woltz, Nobuhiko Oshima, Shoko Nakajima, Joseph Janela, Cody Runnels, Simon Kippen, James Mcahren, Schuyler Andrews, Frank Gerdelman",,,All Elite Wrestling,,en,216,7.2
77,"Crime, Thriller","Rudolf Fernau, Harry Wüstenhagen, Lex Barker, Kurd Pieritz, Karin Dor, Heinrich Gies, Carl de Vogt, Werner Peters, Walter Bluhm, Walo Lüönd, Hans Schwarz Jr., Alain Dijon, Georg Thomalla, Wolfgang Preiss, Zeev Berlinsky, Siegfried Lowitz, Gert Günther Hoffmann",Harald Reinl,"Norbert Jacques, Artur Brauner, Ladislas Fodor",CCC Filmkunst,"Wolf Brauner, Artur Brauner",de,88,6.5
78,"Drama, Crime","Maruja Grifell, Carlos Múzquiz, Rafael Banquells, Silvia Pinal, Roberto Y. Palacios, Meche Barba, Abel Salazar, Arturo Martínez",Julián Soler,"Julián Soler, Xavier Villaurrutia, Alfredo Salazar",Cinematográfica ABSA,Abel Salazar,en,83,5.5
79,"Thriller, War","James Cagney, Judith Lowry, Reed Hadley, Richard Conte, Melville Cooper, Karl Malden, Annabella, Dick Gordon, Dick Wessel, Sam Jaffe, Walter Abel, Frank Latimore",Henry Hathaway,"Sy Bartlett, John Monks Jr.",20th Century Fox,Louis De Rochemont,en,95,5.868
80,"Comedy, Romance","Roy Holder, Richard Burton, Giuseppe Castellano, Alan Webb, Alfredo Bianchini, Alberto Bonucci, Ken Parry, Valentino Bacchi, Giancarlo Cobelli, Valentino Macchi, Bice Valori, Victor Spinetti, Cyril Cusack, Vernon Dobtcheff, Mark Dignam, Aristide Catoni, Anthony Gardner, Adele Cambria, Elizabeth Taylor, Michael Hordern, Milena Vukotić, Giuseppe Transocchi, Natasha Pyne, Michael York, Alfred Lynch, Armando Tortorici, Luciano Bonanni, Carlo Pisacane, Iolanda Fortini, Aristide Caporale, Tina Perna",Franco Zeffirelli,"William Shakespeare, Franco Zeffirelli, Paul Dehn, Suso Cecchi d'Amico","Columbia Pictures, Royal Films International, FAI","Richard Burton, Franco Zeffirelli, Richard McWhorter",en,117,6.924
81,Drama,"Janine Nolland, Louis Billy, André Le Gall, Lucien Callamand, Raymond Cordy, Henri Arius, Denyse Roux, Françoise Arnoul, Charles Blavette, Edouard Hemme, Marco Villa, René Blancard, Louis Lions, Aimé Clariond, Jacqueline Johel, Ketti Dallan",Willy Rozier,,Sport-Films,,fr,88,5
82,,,,,,,ja,70,6
83,"Drama, Romance","Joe Yamanaka, Jō Ishiwata, Chōichirō Kawarasaki, Katsuyuki Shinohara, Renji Ishibashi, Maiko Ogo, Hideo Murota, Kaori Kobayashi, Yoshio Harada, Yamasako Amika, Yukako Hayase, Miyuki Sugiura",Kōji Wakamatsu,"Kei Ishizaka, Kazuo Komizu",,Kazuo Shimizu,ja,94,2
84,Comedy,"Marcos Santos, Nikima Krakelê, Renata Gomes, Erlanes Duarte, Júnior André",Erlanes Duarte,Erlanes Duarte,Raça Ruim Filmes,,pt,123,5.8
85,Drama,"Joyin Cai, Jie Luo, Dylan Kuo, Pearl Luo, Yue Dongfeng, Li Muyun, Zhou Xiaofei, Yiying Chen, Kang Ning, Yu Yan-Kai",Wei Dong,,,,zh,78,3
86,"Comedy, Science Fiction","Dauren Sergazin, Zhakhan Ultargaliev, Rano Umarova, Kairat Adilgerey, Zhuldyz Omirgali, Isbek Abilmazhinov, Tauekel Musilim, Bayurzhan Satov",Alen Niyazbekov,,Tiger Films,"Asel Batalova, Rano Umarova",ru,105,10
87,Documentary,"Liev Schreiber, Nick Buoniconti",Bentley Weiner,Aaron Cohen,"HBO Documentary Films, HBO, HBO Sports","Abtin Motia, Rick Bernstein, Peter Nelson",en,74,7
88,"Science Fiction, Thriller, Horror","Michaela Pace, Ashley Dyke, David Lundy, Kyle Licht, Silas Pereira-Olson, Zachary Golinger, Millicent Simmonds, John Krasinski, Robert A. Coldicott, Noah Jupe, Scott Matheny, Wayne Duvall, Stefania Warwick, Gary Sundown, Lauren-Ashley Cristiano, Blake DeLong, Cristalis Bonilla, Cillian Murphy, Alice Sophie Malyukova, Emily Blunt, Alycia Ripley, Bill Smith, Okieriete Onaodowan, Domonic Taggart, Sheri Fairchild, Djimon Hounsou, Dean Woodward, Scoot McNairy, Barbara Singer",John Krasinski,"Bryan Woods, John Krasinski, Scott Beck","Paramount, Platinum Dunes, Sunday Night","John Krasinski, Bradley Fuller, Michael Bay, Aaron Janus, Allyson Seeger, JoAnn Perritano, Andrew Form",en,97,7.493
89,Documentary,"Jane Bown, Nobby Clark, Don McCullin, Rankin","Michael Whyte, Luke Dodd",,Hot Property Films,"Michael Whyte, Luke Dodd, Janine Marmot",en,90,5.8
90,"Comedy, Crime","Ian Cockburn, Vincent Ball, Nicholas Hammond, Josephine Byrnes, Peter Mochrie, Rebel Penfold-Russell, Colleen Clifford, Kee Chan, Gandhi MacIntyre, Phil Collins, Andrew McMahon, Helen O'Connor, Mitchell McMahon, Hugo Weaving",Stephan Elliott,Stephan Elliott,"Latent Image Productions Pty. Ltd., Australian Film Finance Corporation","Stuart Quin, Rebel Penfold-Russell, Andrena Finlay",en,90,5.952
91,"Music, Comedy, Thriller","Rachel Rosenbloom, Guy Nardulli, David Shorr, Linda Kerns, Sarah Tither-Kaplan, Erica Acevado, Sean Liang, St. Vincent, Kash Abdulmalik, Daniel Mintseris, Gabriela Flores, Michael Bofshever, LaNora Terraé Hayden, Casey Miller, Nick Smoke, Amanda Pajer, Nancy Daly, Nick Molari, Tema Louise Sall, Jon Root, Jake La Botz, Stella Savoie, Rya Kihlstedt, Kate Bone, Becky Poole, Lincoln Jolly, Jon Darby, Robert Miano, Aisha Dee, John Aylward, Matt Johnson, Linda Carola, Steve Rankin, Toko Yasuda, Carrie Brownstein, Drew Connick, Dakota Johnson, Richard Wharton, Ezra Buzzington, Shae D'Lyn, Chris Aquilino, Cass Buggé",Bill Benz,"Carrie Brownstein, St. Vincent","Ways & Means, Topic Studios, Crazy Galore","Carrie Brownstein, Ryan Heller, Lana Kim, Maria Zuckerman, Jett Steiger, Adam Pincus, St. Vincent, Michael Bloom",en,92,6.087
92,"Western, Action","Pedro Armendáriz Jr., Susana Hill, Luis Aguilar, Rodolfo de Anda, Jorge Russek",René Cardona,"Rodolfo de Anda, Carlos Enrique Taboada",Productora Fílmica México,,es,80,5
93,"TV Movie, Thriller, Mystery, Crime","Adrian Petriw, Matt Beairsto, Broadus Mattison, Jim Thorburn, Lini Evans, Chad Krowchuk, Lindsay Gibson, Eli Gabay, Andrea Bowen, Karen Holness, Casey Manderson, Yasmeene Ball, Brent Stait, Anja Savcic, Thomas Cadrot, Nils Hognestad",David Winning,"Karen Hanna, Cathy McKernan","Odyssey Media, Daro Film Distribution","Devi Singh, Pierre-Andre Rochat, Alexandra Julson, Kirk Shaw, Keith Shaw",en,87,4.8
94,Western,"Peggy O'Day, S.J. Bingham, Bud Osborne, Alfred Hewston, Horace B. Carpenter, David Dunbar, Jack Perrin, Martin Turner, Milburn Morante, Harry Pringle",,,Robert J. Horner Productions,,en,60,4
95,"Crime, Horror, Thriller","Igor Savochkin, Igor Vdovin, Boris Nekrasov, Igor Chernevich, Anton Chernyak, Vyacheslav Razbegaev, Emiliya Spivak, Valentina Egorenkova, Yury Pimkin, Aleksandr Karpukhov, Андрей Томашевский, Igor Lifanov, Bakhtiar Aliev, Mikhail Samokhvalov, Sergey Shakurov, Yusup Bakhshiev, Ivan Urgant, Renata Litvinova, Maxim Britvenkov, Elena Rufanova, Gosha Kutsenko, Aleksey Serebryakov, Vadim Franchuk, Anatoliy Belyy, Mikhail Efremov, Aleksandr Poryvaev, Alena Babenko",Denis Neimand,Konstantin Murzenko,Arnold and Gregor Production,,ru,110,4.705
96,"Documentary, Animation, History, Music",,"José Sánchez-Montes, Manuel Siclia","Elena Serra, José Sánchez-Montes","Siesta Producciones, Canal Sur, AC/E",Francesca Nicoll,es,78,2
97,"Crime, Thriller, Action","Mohamed Said, Dana Marouf, Bo Svensson, Meliz Karlge, Patrik Larsson, Miran Kamala, Leo Wande, Aliette Opheim, Małgorzata Pieczyńska, Jakob Eklund, Peter Hladisch, Youssef Skhayri, Charlotta Larsson, Misagh Sharifa, Isidor Alcaide-Backlund, Svante Back, Mikael Tornving, Ivan Mathias Petersson, Muroa Ghesn, Marie Richardson, Victoria Dyrstad, Ori Merom Pics, Rezen Barawy, Christian Svensson, Alexander Karim, Sandra El Maliki, Jonatan Rodriguez, Simon Fezher, Alexandra Rapaport, Daniel Larsson, Zardasht Rad, Björn Bengtsson, Luma Bertling, Mårten Svedberg, Samir Chatty, Örjan Landström, Mahmut Suvakci, Zeljko Santrac, Christin Bondesson, Jens Hultén",Peter Lindmark,"Tage Åström, Richard Holm",Nordisk Film Denmark,,sv,94,6.125
98,"Drama, Thriller","René Laporte, Norodom Sihanouk, Monique Sihanouk, Nop Nem, Dy Saveth",Norodom Sihanouk,Norodom Sihanouk,Khemara Pictures,Norodom Sihanouk,km,110,6
99,Documentary,"Dave Young, Harley Prosper, Rosa Matilpi, Joe Chastis, Janet Brown, Marcus Raweater",Juan Manuel Sepulveda,Juan Manuel Sepulveda,,"Juan Manuel Sepulveda, Elsa Reyes, Isidore Bethel",es,70,6
100,"Adventure, Comedy, Family, Fantasy, TV Movie","Judith M. Ford, Phillip Van Dyke, Emily Roeske, Rino Romano, Vincent Gambino, Todd Tolces, Elizabeth Fugere, Michael Patrick Egan, J.W. Crawford, V. Jude Hill, Kimberly J. Brown, Joey Zimmerman, Shannon Day, Brian Landon, Debbie Reynolds, Jordyn F. Fields, Sherilyn Lawson, Nurmi Husa, Johnny Useldinger, Jim Becker, Robin Thomas, Betty Moyer, George A. Keller, Hank Cartwright, Michele Mariana, Kenneth Choi, Judith Hoag",Duwayne Dunham,"Ali Marie Matheson, Jon Cooksey, Paul Bernbaum","Singer/White Entertainment, Ventura Valley Films","Steve White, Sheri Singer, Ron Mitchell",en,84,6.8
101,"Comedy, Romance","William Alland, George Murphy, Sarah Edwards, William J. O'Brien, Dorothy Lloyd, Gus Glassmire, Eddie Hall, William Halligan, Netta Packer, Burgess Meredith, Joseph E. Bernard, Betty Breckenridge, Jack Briggs, Lurene Tuttle, Gertrude Short, Sidney Skolsky, Joe Cunningham, Phil Silvers, Edna Holland, Alexander Pollard, Knox Manning, Gayle Mellott, Sayre Dearing, Pat McKee, Barry Norton, Jane Seymour, Lenore Lonergan, Vickie Lester, Ellen Lowe, Jack Gargan, Bess Flowers, Jane Patten, Berry Kroeger, Jane Woodworth, Alan Marshal, Ginger Rogers, Edward Colebrook, Maurice Brierre, Michael Audley",Garson Kanin,Paul Jarrico,RKO Radio Pictures,Robert Sisk,en,87,5.2
102,"Crime, Drama","Pierre Bonasse, Jacques Weber, Jean-Luc Bideau, Yan Brian, Jonathan Hunther, Barbara Laage, Françoise Fabian, Elisabeth Huppert, François Dyrek, Françoise Saint-Laurent, Jane Birkin, Jean-Louis Fortuit, Albert Michel, Bulle Ogier, Albert Simono, Jean-François Gobbi, Joël Felzines, Raymond Huguen, Jérôme Kaminsky, Sabine Glaser",François Leterrier,"Bernard Revon, François Leterrier, Madeleine Chapsal","Albina Productions S.a.r.l., Office de Radiodiffusion Télévision Française",Albina du Boisrouvray,fr,95,4.667
103,Music,"Robert Pollard, Tobin Sprout, Leland Cain, Kevin Fennell, Mitch Mitchell",,,Pavemalk & Bobfather,,en,120,9
104,"Drama, Thriller","John Diehl, Michael Beach, Mark Harmon, Lisa Darr, Alex Paen, Blake Lindsley, Jennifer Joan Taylor, Kelly Bennett, Caroline Goodall, Jon Gries",Alex Graves,"Gary Preisler, Alex Graves",Trimark Pictures,,en,85,6.6
105,,"Emiko Okada, Pauline Silvia, Howard Lukk, M.T. Silvia",M.T. Silvia,,,,en,87,5.3
106,"Adventure, Drama, Family","Martin Brisebois, Ana Alarcon, Kyle Gatehouse, Andrew Simms, Callum Keith Rennie, Sabrina Reeves, Richard Jutras, Zachary Amzallag, Eric Davis, Robert Maillet, Mairtin O'Carrigan, Michel Perron, Christie Claymore, Amber Goldfarb, Susan Glover, Dawn Ford, Julian Richings, Helena Bonham Carter, Kyle Allatt, Dominique Pinon, Dylan Kingwell, Jakob Davies, Lisa Bronwyn Moore, Felicia Shulman, James Bradford, Judy Davis, Una Kay, Rick Mercer, Leigh Ann Taylor, Victor Cornfoot, Kyle Catlett, Harry Strandjofski, Anne-Sophie Bozon, Niamh Wilson, Sylvia Stewart, Rebecca Amzallag",Jean-Pierre Jeunet,"Jean-Pierre Jeunet, Guillaume Laurant, Reif Larsen","Epithète Films, Cross Creek Pictures, Tapioca Films","Tyler Thompson, Frédéric Brillion, Jean-Pierre Jeunet, Gilles Legrand, Francis Boespflug",en,105,6.813
107,"Comedy, Drama, Romance","Mathias Sparre-Ulrich, Paw Henriksen, Bjarne Henriksen, Chapper Kim, Laura Bro, Thomas Gammeltoft, Jeppe Kaas, Lin Kun Wu, Johan Rabaeus, Mogens Rex, Vivian Wu, Charlotte Fich, Nicolas Winding Refn",Henrik Ruben Genz,Kim Fupz Aakeson,Fine & Mellow Productions,,da,88,6.55
108,Drama,"Meie Castanho, Melvil Poupaud, Isabelle Carré, Dominique Jacquet, Arnaud Goudal, Pierre Louis-Calixte, Sylvie Haurie-Aussel, Kevin Sorieul, Paloma Hidalgo, Jean-Pierre Andréani, Maurice Antoni, Jérôme Kircher, Nicolas Moreau, Émile Berling, Marie Rivière, Louis-Ronan Choisy, Claire Vernet, Tania Dessources",François Ozon,"Mathieu Hippeau, François Ozon",Le Pacte,,fr,89,6.2
109,Drama,"Rafael Blam, Adrián Ghío, Chela Cardalda, Žarko Laušević, Jug Bebler, Osvaldo Santoro, Mira Furlan, Milan Erak, María Fiorentino, Olivera Marković, Joaquin Monaco, Mauricio Dayub, Valentina Božinovska, Eva Ras, Mirjana Joković",Juan Bautista Stagnaro,"Albert Londres, Beda Docampo Feijóo, Juan Bautista Stagnaro, Elida Cecconi","JEMPSA, Smart Egg Pictures, C.F.S. Košutnjak, Art film 80",,sh,89,4.4
110,Comedy,"Lili Popovich, Fabián Arenillas, Soledad García, Gerardo Otero, Victoria Césperes, Fabio Aste","Mónica Ester Roza, Daniel Alvaredo","Carlos Piwowarski, Javier Martínez Foffani, Walter Tejblum, Federico Viescas","MR Films, Tejblum Media, Chekka Cine","Walter Tejblum, Mónica Ester Roza",es,70,5
111,"TV Movie, Drama","Michael Shulman, Lee Garlington, Stephanie Zimbalist, Gaby Hoffmann, Joanna Kerns",Frank Arnold,Cindy Myers,"Bernhardt-Friestat Entertainment, Robert Greenwald Productions, CBS","Robert Greenwald, Lynn Arost, Philip K. Kleinbart",en,89,5
112,Documentary,"Theaster Gates, Fab 5 Freddy, Glenn O'Brien, Jean-Michel Basquiat, Bob Colacello, Kenny Scharf, Al Diaz, Stan Peskett, Suzanne Mallouk, Tony Shafrazi, Brett De Palma, Lisane Basquiat, Cathleen McGuigan, Marc Miller, Larry Gagosian, Paige Powell, Greg Tate, Michael Holman, Madonna, Debbie Harry, Michael Halsband, Diego Cortez, Robert Storr, Tamra Davis, Andy Warhol, Annina Nosei, Maripol, Bruno Bischofberger, Jennifer Vonholstein, Jeffrey Deitch, Mary Boone, Troy Stevenson-House, James Chance, Jeanine Basquiat",David Shulman,,BBC Studios,"David Shulman, Janet Lee",en,90,6
113,Drama,"Joseph Kaufmann, Claudia Jennings, Robert Deman, Bonnie Bittner, Jolivett Cato, Maurice Sherbanee, Vic Dunlop, Alix Wyeth, Norman Burton",Gunther Collins,Gunther Collins,,Igo Kantor,en,80,5.333
114,,"Activista, YOTA5, Elena Akrita, Zak Kostopoulos, Georgios Iatrou, Antonis Stamopoulos, Lito Messini, Diamanti Kritsotaki, ER Libido, Nikos Ziaziaris, Mochi Georgiou, Veronique Tromokratisch, Metatheodosia, Mariza Tsari, Lia Smaragda, Filippos Vazakas, Stamatis Pakakis, Lambros Tsagkas",Fil Ieropoulos,,,,el,111,9
115,Drama,"Martin Glade, Kirstin Warnke, Eric Langner, Christine Neubauer, Ole Tillmann, Katja Hoffmann, Ruth-Maria Kubitschek, Helmut Zierl, Iris Werlin, Jaecki Schwarz, Eckart von Hirschhausen, Kai Holzapfel, Julia Hartmann, Jan Fedder",Wolf Gremm,"Wolf Gremm, Kristin Hannah","Regina Ziegler Filmproduktion, ARD Degeto","Eva Roebling, Regina Ziegler, Wolfgang Hantke",de,88,4.5
116,Science Fiction,"Javier Tornos, Yvonne Medina, Nacho Andaluz, José Javier Gracia Osanz",Ric Salvador,,Hermetica films,,en,93,9
117,Documentary,"José A. Mauro, Humberto Mauro",André Di Mauro,,"Canal Brasil, Di Mauro Filmes",André Di Mauro,pt,90,6
118,"Horror, Mystery, Thriller","David Higlen, Brad Culver, Austin Highsmith Garces, Bryce Gerlach, Ailsa Marshall, Terri Marsteiner, Stevens Gaston, Sara Tomko, Jeff Atik, Eve Sigall, Brandon Stacy, Michael McLafferty, Keith Foster, Steve Cembrinski, Kim Estes","Gabriel Cowan, John Suits","Gabriel Cowan, John Suits","Imagination Worldwide, BIG Pictures, New Artists Alliance","Gabriel Cowan, Bryce Gerlach",en,89,4.3
119,Comedy,"Paul Whitehouse, Rosie Cavaliero, Harry Enfield, Kathy Burke",Ed Bye,,"BBC, Balloon Entertainment",,en,60,7
120,"Family, Comedy","Spencer Daniels, Peter Murnik, Håvard Lilleheie, Kendall Ryan Sanders, Paul J. Alessi, Traci Lords, Stephen O'Mahoney, Oscar Quintero, Anne Svanes, Britt Rothhammer, Louise Rosager, Cher Ferreyra, Gavin Reese Mosher, Judy Neuschafer, Kelsey Sanders, Rob Stam",J.T. O'Neal,J.T. O'Neal,"Au Pair, KS, MarVista Entertainment","J.T. O'Neal, Rob Stam, Thomas L. Carmody",en,95,5
121,Comedy,"Yvette Santos, Shoshanna Green, Bailey Kearns, Toyvon Cambell, Shasta Bell, Christian Nicholes, Noah Toth, Elijah Shepherd, Colby Hamann, Charles Curtice, Este June McEacheren, Mark Wayne McEacheren, Fatou Nia M'Bye, Kyle Langdon-Weyrich, Andrea Dersom, Eric Toms, Ryan Jack Connell, Sylvia Joan, Andy Casillas, Katrina Bonin, Gene Arroyo, Dustin Rhodes, Michael Hampton",David Codeglia,David Codeglia,,Gillian Wang,en,99,4
122,"Music, Family","Caroline Henderson, Jytte Abildstrøm, Janus Dissing Rathke, Kaya Brüel, Trine Dyrholm, Nicolas Bro, Bodil Jørgensen, Anne-Grethe Bjarup Riis, Peter Frödin, Troels Lyby, Daimi, Steen Rasmussen, Michael Wikke, Anders W. Berthelsen","Steen Rasmussen, Michael Wikke","Steen Rasmussen, Michael Wikke",Græsted Film & Fjernsyn,,da,92,4.7
123,Thriller,"Shoichi Matsuda, Mitsuki Koga, Isamu Sugihara, Yohei Kisarazu, Chiemi Toi, Shôko Nakahara, Hiroaki Kawatsure, Natsuko Kimura, Miyuki Yokoyama",Ainosuke Shibata,Hiroyasu Kubota,Guild Group,,ja,70,3
124,,"Peter Jacobson, Judy Prescott, Teresa DePriest, Kerr Smith, J.K. Simmons, John Fiore, Michael Parducci, Hoyt Richards",Christopher Livingston,,,,en,108,4.625
125,Comedy,"Bud Duncan, Lucien Littlefield, Jack Carr, Doris Linden, Edgar Kennedy, Cliff Nazarro",Roy Mack,Ray Harris,"Monogram Pictures, Capitol Productions Inc",,en,63,2
126,"Romance, Comedy, TV Movie","Brittany Gray, Kira Gelineau, Jefferson Brown, Ann Pornel, Melissa Jane Shaw, Arnold Pinnock, Kellie Martin, Robinne Fanfair, Susan Dunstan, Sterling Jarvis, Neil Crone, Stephen Park, Melanie McInenly, Justin Rutledge, Jackie Richardson, Adamo Ruggiero, Sheila McCarthy, Lorna Wilson, Shane Daly",Laurie Lynd,"Lee Rose, Kathleen McGhee-Anderson","Entertainment One Television, UP Entertainment","John Morayniss, Kathleen McGhee-Anderson, Lee Rose, Kellie Martin, Betty Orr, Margaret O'Brien, Ira Pincus",en,87,6.5
127,Drama,"Valeri Gatayev, Viktor Pavlov, Leonid Dyachkov, Natalya Nazarova, Yevgeniya Khanayeva, Irina Kupchenko, Mikhail Ulyanov, Lyubov Sokolova, Aleksey Serebryakov",Leonid Menaker,Aleksandr Galich,Lenfilm,,en,92,8.5
128,Documentary,"Marcello Lippi, Andrea Bocelli, Marco Materazzi, Francesco Totti, Paolo Montero, Angelo Di Livio, Fabio Cannavaro, Ciro Ferrara, Fabrizio Ravanelli, Alessandro Del Piero, Christian Vieri, Gianluigi Buffon, Adriano Galliani","Herbert Simone Paragnani, Paolo Geremei","Herbert Simone Paragnani, Umberto Riccioni Carteni","RAI Cinema, Masterfive, On Production","Umberto Riccioni Carteni, Herbert Simone Paragnani, Davide Tovi, Giuseppe Manzi, Francesco Palazzi",it,90,5
129,"Romance, TV Movie","Aaron Quick Nelson, David de Vries, Jeff Branson, Brooklyn Rae Silzer, Michael Nardelli, Michael Rady, Katrina Norman, Brandhyze Stanley, Rhoda Griffis, Sylvia Jefferies, Taylor Cole",Steven R. Monroe,Rick Garman,"Storybox Entertainment, Hallmark Media, Curmudgeon Films, Sydell Albert Productions","Stephen Furst, Griff Furst, Sydell Albert",en,84,5.935
130,"Drama, Family","Kathryn Daniels, Maritza Brikisak, Marcio Moreno, Austin Trapp, Chelsea Thompson, Vince Song, Rohain Arora, Todd Hann, Dan Zachary, Seann Sheriland, Justin Lacey, Keerthi paikera, Patrice Jefferson, Suzy Joachim, Phil Trasolini, Lumen Beltran, Yvette Dudley-Neuman","Christina Tsialtas, Maritza Brikisak","Charles Bourland, Felix Martiz, Maritza Brikisak",RMR Productions,,en,87,3.7
131,Drama,"Alberto González Rubio, Fedora Capdevila, Gloria Morel, Fernando Fernández, Meche Barba, Crox Alvarado, Dagoberto Rodríguez",Ernesto Cortázar,"Edmundo Báez, Mario García Camberos",Clasa Films Mundiales,Alfonso Rosas Priego,es,90,5.6
132,"Mystery, Drama","Martin Landau, Gretchen Becker, Danny Glover, Peter Mark Richman, Silvia Spross, Curt Clendenin, Michael Rooker, Meadow Williams, Carlucci Weyant, Robert Miano, Cassandra Gava, Katarzyna Wolejnio, Billy Zane",Lucius C. Kuert,Lucius C. Kuert	,"Arramis Films, Royalty Rope","Alan Wooley, Stuart Alson, Gary A. Kauffman, Rafael Primorac, Gerald Kessler, John S. Hicks, Robert Miano, William Dorfman, Marlon Parry, Lucius C. Kuert	",en,94,4.5
